individual,area,max_width,max_length,analyst
s_001_021_001_006,13.795,4.01,5.614,aditi
s_001_021_001_007,12.92,3.819,5.629,aditi
s_001_021_001_008,18.131,4.429,6.381,aditi
s_001_021_001_009,10.18,2.343,6.081,aditi
s_001_021_001_010,6.11,2.686,3.895,aditi
s_001_021_001_011,8.6,3.048,4.324,aditi
s_001_021_001_012,7.993,3.495,3.848,aditi
s_001_021_001_013,5.868,2.762,4.124,aditi
s_001_021_001_014,14.804,3.705,5.362,aditi
s_001_021_001_015,17.329,3.686,6.448,aditi
s_001_021_001_016,8.668,3.229,4.152,aditi
s_001_021_001_018,25.72,5.524,7.733,aditi
s_001_021_001_020,8.572,2.843,4.333,aditi
s_001_021_001_021,5.809,2.657,3.505,aditi
s_001_021_001_023,4.372,2.01,2.714,aditi
s_001_021_001_026,5.198,1.976,4.19,aditi
s_001_021_002_017,6.786,1.733,5.343,aditi
s_001_021_002_019,12.293,4.057,4.857,aditi
s_001_021_002_022,6.425,2.629,3.648,aditi
s_001_021_002_024,5.374,2.648,3.029,aditi
s_001_021_002_025,6.538,2.048,4.505,aditi
s_001_187_001_001,26.198,5.429,8.019,aditi
s_001_187_001_002,16.194,4.952,5.2,aditi
s_001_187_001_003,14.045,3.676,5.867,aditi
s_001_187_001_004,24.188,6.076,6.286,aditi
s_001_187_001_005,21.024,4.376,7.014,aditi
s_001_187_001_006,9.895,2.781,6.595,aditi
s_001_187_001_007,10.102,2.876,4.781,aditi
s_001_187_001_008,8.624,2.905,4.705,aditi
s_001_187_001_009,8.352,2.457,5.371,aditi
s_001_187_001_010,9.34,3.219,4.962,aditi
s_001_187_001_011,9.932,2.6,6.371,aditi
s_001_187_001_012,9.316,2.943,4.652,aditi
s_001_187_001_013,9.039,3.695,3.971,aditi
s_001_187_001_014,32.32,4.21,9.438,aditi
s_001_187_001_015,7.365,2.762,4.481,aditi
s_001_187_001_020,6.406,2.8,3.4,aditi
s_001_187_001_021,6.551,2.457,4.243,aditi
s_001_187_002_016,5.776,1.705,4.143,aditi
s_001_187_002_017,8.891,3.071,4.657,aditi
s_001_187_002_018,8.495,3.152,5.067,aditi
s_001_187_002_019,4.916,1.438,4.795,aditi
s_001_233_001_001,39.438,5.676,10.819,aditi
s_001_233_001_002,15.406,4.457,5.233,aditi
s_001_233_001_003,11.842,2.562,6.571,aditi
s_001_233_001_004,16.399,5.019,5.743,aditi
s_001_233_001_005,19.591,4.771,6.024,aditi
s_001_233_001_006,12.41,3.152,5.81,aditi
s_001_233_001_007,8.658,2.6,4.295,aditi
s_001_233_001_008,9.983,3.171,5.657,aditi
s_001_233_001_009,11.82,3.048,5.476,aditi
s_001_233_001_010,8.065,2.295,5.419,aditi
s_001_233_001_011,11.553,2.914,5.305,aditi
s_001_233_001_012,18.992,5.181,6.571,aditi
s_001_233_001_013,7.937,2.571,4.371,aditi
s_001_233_001_014,9.784,4.095,4.429,aditi
s_001_233_001_015,7.939,3.267,3.871,aditi
s_001_233_001_016,6.321,2.981,4.952,aditi
s_001_233_001_017,5.086,3.548,3.524,justin
s_001_234_001_001,50.466,7,11.524,aditi
s_001_234_001_002,21.416,4.743,7.619,aditi
s_001_234_001_003,22.138,3.962,9.067,aditi
s_001_234_001_004,28.417,5,7.829,aditi
s_001_234_001_005,19.789,4.029,7.229,aditi
s_001_234_001_006,20.205,5.248,6.581,aditi
s_001_234_001_007,9.292,3.381,4.848,aditi
s_001_234_001_008,10.33,4.571,5.2,aditi
s_001_234_001_009,6.67,2.829,3.752,aditi
s_001_234_001_010,10.085,3.629,4.029,aditi
s_001_234_001_011,14.452,3.229,6.705,aditi
s_001_234_001_012,11.071,3.981,4.667,aditi
s_001_234_001_015,4.575,1.781,4.033,aditi
s_001_234_001_016,7.296,2.495,4.838,aditi
s_001_234_001_018,5.872,2.2,3.638,aditi
s_001_234_001_031,11.057,3.09,5.019,aditi
s_001_234_002_013,8.831,3.286,4.329,aditi
s_001_234_002_014,10.505,3.629,4.419,aditi
s_001_234_002_017,8.03,3.324,4.052,aditi
s_001_234_002_019,6.398,3.029,3.533,aditi
s_001_234_002_020,10.022,3.457,4.419,aditi
s_001_234_002_021,9.149,3.486,4.705,aditi
s_001_234_002_022,7.654,3.162,4.229,aditi
s_001_234_002_023,6.932,2.333,4.143,aditi
s_001_234_002_024,4.041,2.248,2.914,aditi
s_001_234_002_025,5.159,2.314,3.5,aditi
s_001_234_002_026,4.7,1.771,3.4,aditi
s_001_234_002_027,6.465,2.99,3.648,aditi
s_001_234_002_028,5.169,2.733,2.819,aditi
s_001_234_002_029,12.363,4.124,4.381,aditi
s_001_234_002_030,5.44,2.695,3.21,aditi
s_001_235_001_001,27.86,5.657,8.114,aditi
s_001_235_001_002,22.356,5,8.238,aditi
s_001_235_001_003,30.128,4.295,8.657,aditi
s_001_235_001_004,18.743,3.648,7.871,aditi
s_001_235_001_005,9.137,2.733,5.924,aditi
s_001_235_001_006,15.628,4.514,5.171,aditi
s_001_235_001_007,15.825,3.838,5.838,aditi
s_001_235_001_008,9.676,2.486,5.067,aditi
s_001_235_001_009,9.305,2.952,4.286,aditi
s_001_235_001_012,7.104,2.371,3.886,aditi
s_001_235_001_013,6.986,2.105,5.381,aditi
s_001_235_001_016,6.135,2.743,3.59,aditi
s_001_235_001_017,5.102,1.967,3.667,aditi
s_001_235_001_018,10.488,3.657,4.238,aditi
s_001_235_001_019,4.925,1.629,4.076,aditi
s_001_235_001_020,4.486,2.371,2.638,aditi
s_001_235_002_010,13.561,2.524,8.152,aditi
s_001_235_002_011,8.109,3.162,4.476,aditi
s_001_235_002_014,6.472,2.819,3.943,aditi
s_001_235_002_015,7.036,2.743,4.171,aditi
s_002_001_001_001,47.183,7.19,9.248,aditi
s_002_001_001_002,19.54,4.238,6.981,aditi
s_002_001_001_003,25.266,4.924,8.124,aditi
s_002_001_001_004,25.447,6.19,6.748,aditi
s_002_001_001_005,17.535,4.562,6.038,aditi
s_002_001_001_006,18.82,4.429,6.2,aditi
s_002_001_001_007,13.062,3.59,5.448,aditi
s_002_001_001_008,8.259,2.39,5.562,aditi
s_002_001_001_009,12.757,4.2,5.2,aditi
s_002_001_001_010,11.926,3.829,5.386,aditi
s_002_001_001_011,8.528,3.21,3.762,aditi
s_002_001_001_012,7.499,3.343,3.59,aditi
s_002_001_001_013,8.101,3.105,3.676,aditi
s_002_001_001_014,6.867,2.4,3.267,aditi
s_002_001_001_015,10.23,3.61,4.329,aditi
s_002_001_001_016,7.179,2.962,4.152,aditi
s_002_001_001_017,10.569,3.99,4.362,aditi
s_002_001_001_018,6.308,1.924,5.59,aditi
s_002_001_001_019,7.782,2.571,4.181,aditi
s_002_001_001_020,7.962,2.724,4.095,aditi
s_002_001_001_021,3.406,2.376,2.824,aditi
s_002_001_001_022,8.53,3.676,4,aditi
s_002_001_001_023,6.476,2.686,3.581,aditi
s_002_001_001_024,5.29,2.286,3.552,aditi
s_002_001_002_025,6.367,2.714,3.5,aditi
s_002_001_002_026,5.01,2.329,3.624,aditi
s_002_001_002_027,5.082,2.143,3.843,aditi
s_002_001_002_028,4.919,2.238,3.686,aditi
s_002_001_002_029,6.196,2.971,3.362,aditi
s_002_001_002_030,6.181,2.438,3.429,aditi
s_002_001_002_031,4.017,2.048,3.481,aditi
s_002_001_002_032,4.618,2.038,3.495,aditi
s_002_009_001_001,40.869,7.629,8.971,aditi
s_002_009_001_002,28.642,5.438,7.229,aditi
s_002_009_001_003,21.227,3.705,7.314,aditi
s_002_009_001_004,28.646,6.276,7.4,aditi
s_002_009_001_005,24.189,6.324,6.238,aditi
s_002_009_001_006,20.89,4.552,6.286,aditi
s_002_009_001_007,18.389,4.857,5.686,aditi
s_002_009_001_008,15.483,4.143,5.79,aditi
s_002_009_001_009,14.058,4.386,5.876,aditi
s_002_009_001_010,12.222,2.752,5.733,aditi
s_002_009_001_011,14.959,3.371,6.61,aditi
s_002_009_001_012,15.869,4.343,5.819,aditi
s_002_009_001_013,12.382,3.895,5.152,aditi
s_002_009_001_014,10.231,3.095,5.324,aditi
s_002_009_001_015,10.405,3.581,5.324,aditi
s_002_009_001_025,3.558,1.276,4.219,aditi
s_002_009_001_028,6.496,2.552,3.343,aditi
s_002_009_001_030,4.871,2.676,3.295,aditi
s_002_009_001_032,3.659,1.733,3.6,aditi
s_002_009_002_016,11.756,3.848,5.2,aditi
s_002_009_002_017,12.248,3.695,4.943,aditi
s_002_009_002_018,7.887,2.01,5.91,aditi
s_002_009_002_019,11.006,3.167,5.281,aditi
s_002_009_002_020,7.666,2.543,4.781,aditi
s_002_009_002_021,6.298,2.714,4.219,aditi
s_002_009_002_022,6.372,2.314,4.333,aditi
s_002_009_002_023,5.913,2.943,3.367,aditi
s_002_009_002_024,4.691,2.238,3.771,aditi
s_002_009_002_026,6.031,2.295,4.019,aditi
s_002_009_002_027,4.715,2.238,3.619,aditi
s_002_009_002_028,6.499,2.552,3.343,aditi
s_002_009_002_029,6.224,2.857,3.405,aditi
s_002_009_002_030,4.871,2.676,3.295,aditi
s_002_009_002_031,6.623,2.581,3.633,aditi
s_002_026_001_001,21.154,5.743,6.581,aditi
s_002_026_001_002,23.156,5.048,8.257,aditi
s_002_026_001_003,22.597,4.39,7.571,aditi
s_002_026_001_004,22.399,4.857,6.238,aditi
s_002_026_001_005,20.226,3.905,7.543,aditi
s_002_026_001_006,14.965,3.676,6.476,aditi
s_002_026_001_007,15.92,4.914,5.19,aditi
s_002_026_001_008,6.502,1.81,5.6,aditi
s_002_026_001_009,11.801,4.162,4.614,aditi
s_002_026_001_010,10.08,3.79,4.695,aditi
s_002_026_001_011,6.978,2.376,4.543,aditi
s_002_026_001_012,6.856,2.4,4.033,aditi
s_002_026_001_013,5.3,3.038,3.114,aditi
s_002_026_001_014,5.231,1.724,3.971,aditi
s_002_027_001_001,34.947,6.433,8.81,aditi
s_002_027_001_002,29.107,6.01,8.257,aditi
s_002_027_001_003,30.265,4.876,9.181,aditi
s_002_027_001_004,32.001,5.933,7.781,aditi
s_002_027_001_005,25.904,4.61,8.333,aditi
s_002_027_001_006,35.317,3.705,12.114,aditi
s_002_027_001_007,19.24,3.457,7.962,aditi
s_002_027_001_008,21.402,4.771,6.924,aditi
s_002_027_001_009,9.78,3.971,6.386,justin
s_002_027_001_010,17.66,3.829,7.105,aditi
s_002_027_001_011,9.983,3.524,4.695,aditi
s_002_027_001_012,13.945,3.99,5.086,aditi
s_002_027_001_013,9.429,2.895,4.581,aditi
s_002_027_001_015,7.432,2.229,6.238,aditi
s_002_027_001_018,5.752,2.557,3.776,aditi
s_002_027_001_020,7.467,3.105,3.871,aditi
s_002_027_001_022,7.066,3.324,3.576,aditi
s_002_027_001_023,4.345,1.705,4.114,aditi
s_002_027_001_024,6.46,2.99,4.048,aditi
s_002_027_001_025,8.562,2.829,4.59,aditi
s_002_027_001_026,4.31,1.995,3.486,aditi
s_002_027_002_014,10.306,3.2,4.848,aditi
s_002_027_002_016,6.701,2.505,3.967,aditi
s_002_027_002_017,8.835,3.243,4.257,aditi
s_002_027_002_019,9.015,2.438,5.257,aditi
s_002_027_002_021,6.516,3.029,4.381,aditi
s_002_027_002_027,17.282,3.914,7.086,aditi
s_002_028_001_001,27.957,4.552,9.076,aditi
s_002_028_001_002,43.091,6.99,8.41,aditi
s_002_028_001_003,26.847,4.867,8.81,aditi
s_002_028_001_004,12.642,2.981,6.105,aditi
s_002_028_001_005,9.231,3.371,5.371,aditi
s_002_028_001_006,10.782,3.724,4.752,aditi
s_002_028_001_007,15.031,4.095,5.848,aditi
s_002_028_001_008,7.449,2.105,5.867,aditi
s_002_028_001_009,5.611,1.924,5.048,aditi
s_002_031_001_001,25.566,5.867,6.314,aditi
s_002_031_001_002,18.387,5.029,6.048,aditi
s_002_031_001_003,20.714,4.667,6.857,aditi
s_002_031_001_004,19.682,4.733,5.61,aditi
s_002_031_001_005,21.875,5.4,6.305,aditi
s_002_031_001_006,18.133,4.848,5.595,aditi
s_002_031_001_007,13.829,3.981,5.181,aditi
s_002_031_001_008,11.257,3.21,4.971,aditi
s_002_031_001_009,7.01,2.643,3.867,aditi
s_002_031_001_010,7.724,2.829,4.057,aditi
s_002_031_001_011,6.639,2.886,3.476,aditi
s_002_031_001_012,5.96,1.79,4.876,aditi
s_002_031_001_013,7.465,2.695,3.914,aditi
s_002_031_001_014,9.035,3.229,4.21,aditi
s_002_031_001_015,5.978,2.648,3.652,aditi
s_002_214_001_001,41.379,6.476,10.448,aditi
s_002_214_001_002,27.749,6.4,7.133,aditi
s_002_214_001_003,27.207,4.943,7.19,aditi
s_002_214_001_004,25.637,5.4,6.838,aditi
s_002_214_001_005,14.127,4.076,4.933,aditi
s_002_214_001_006,16.609,2.876,8.219,aditi
s_002_214_001_007,9.254,3.695,4.619,aditi
s_002_214_001_008,8.98,3.048,5.09,aditi
s_002_214_001_009,8.647,3.581,4.667,aditi
s_002_214_001_010,7.74,2.99,3.981,aditi
s_002_214_001_011,6.251,2.576,4.086,aditi
s_002_214_001_012,9.791,3.067,4.962,aditi
s_002_214_001_013,9.768,3.629,5.681,aditi
s_002_214_001_014,9.221,3.505,4.9,aditi
s_002_214_001_015,6.982,2.924,4.429,aditi
s_002_214_001_016,9.056,3.267,3.81,aditi
s_002_214_001_017,5.185,2.495,3.11,aditi
s_002_214_001_018,5.574,2.829,3.048,aditi
s_002_214_001_019,5.335,2.19,4.124,aditi
s_002_214_001_020,5.772,2.505,3.89,aditi
s_002_214_001_021,5.754,2.176,3.667,aditi
s_002_214_001_022,4.329,1.829,4.086,aditi
s_002_214_001_023,6.118,1.667,4.971,aditi
s_002_214_001_024,5.423,2.457,3.457,aditi
s_003_013_001_001,65.722,7.571,11.105,aditi
s_003_013_001_002,35.66,5.229,9.319,aditi
s_003_013_001_003,32.566,7.005,8.124,aditi
s_003_013_001_004,20.274,4.905,6.371,aditi
s_003_013_001_005,21.215,4.438,6.429,aditi
s_003_013_001_006,18.559,4.2,6.39,aditi
s_003_013_001_007,18.181,5.181,6.024,aditi
s_003_013_001_008,13.664,3.086,5.829,aditi
s_003_013_001_009,14.075,3.41,6.257,aditi
s_003_013_001_010,9.416,3.438,5.095,aditi
s_003_013_001_011,12.03,3.743,5.095,aditi
s_003_013_001_012,9.331,2.924,4.819,aditi
s_003_013_001_013,8.932,2.676,5.219,aditi
s_003_013_001_014,7.536,2.505,4.648,aditi
s_003_013_001_016,9.842,3.686,4.905,aditi
s_003_013_001_017,7.823,3.057,4.457,aditi
s_003_013_001_018,7.844,3.314,3.733,aditi
s_003_013_001_019,7.308,2.657,4.676,aditi
s_003_013_001_021,5.562,1.781,4.01,aditi
s_003_013_001_024,6.535,2.91,3.4,aditi
s_003_013_001_029,6.136,2.705,3.829,aditi
s_003_013_001_030,7.393,3.276,3.481,aditi
s_003_013_001_031,4.485,2.143,3.314,aditi
s_003_013_002_015,10.631,4.086,4.467,aditi
s_003_013_002_020,6.153,2.838,3.552,aditi
s_003_013_002_022,8.62,3.029,4.176,aditi
s_003_013_002_023,5.719,2.105,4.167,aditi
s_003_013_002_025,6.412,2.305,3.705,aditi
s_003_013_002_026,6.868,3.019,3.476,aditi
s_003_013_002_027,7.192,3.029,4.486,aditi
s_003_013_002_028,4.241,2.19,2.91,aditi
s_003_015_001_001,24.964,6.338,7.267,aditi
s_003_015_001_002,11.706,3.629,4.962,aditi
s_003_015_001_003,6.997,1.99,5.01,aditi
s_003_015_001_004,6.609,2.21,4.081,aditi
s_003_015_001_005,6.678,2.429,4.671,aditi
s_003_015_001_006,3.884,2.114,3,aditi
s_003_015_001_007,8.756,3.229,4.067,aditi
s_003_015_001_008,7.975,3.01,3.886,aditi
s_003_015_001_009,12.311,3.838,5.429,aditi
s_003_015_001_010,6.588,2.486,4.057,aditi
s_003_015_001_011,8.351,2.381,4.495,aditi
s_003_015_001_012,5.152,2.105,3.924,aditi
s_003_024_001_001,47.691,7.152,9.667,aditi
s_003_024_001_002,33.846,4.781,8.971,aditi
s_003_024_001_003,25.393,4.733,8.029,aditi
s_003_024_001_004,14.872,3.181,6.6,aditi
s_003_024_001_005,20.775,5.657,5.705,aditi
s_003_024_001_006,20.709,4.676,6.533,aditi
s_003_024_001_007,18.253,4.076,6.248,aditi
s_003_024_001_008,12.634,3.6,5.595,aditi
s_003_024_001_009,8.024,2.371,5.648,aditi
s_003_024_001_010,8.277,3.057,3.924,aditi
s_003_024_001_011,12.023,3.79,5.457,aditi
s_003_024_001_012,13.579,3.505,5.724,aditi
s_003_024_001_013,9.83,3.6,4.676,aditi
s_003_024_001_014,6.459,2.362,3.371,aditi
s_003_024_001_015,8.823,3.457,4.3,aditi
s_003_024_001_016,10.47,3.981,4.476,aditi
s_003_024_001_017,9.274,3.41,4.295,aditi
s_003_024_001_018,3.702,2.076,3.438,aditi
s_003_024_001_019,3.723,1.438,3.905,aditi
s_003_024_001_020,5.547,2.995,3.333,aditi
s_003_024_001_021,5.48,2.181,3.695,aditi
s_003_024_001_022,5.552,2.038,3.81,aditi
s_003_030_001_001,36.857,6.219,9.09,aditi
s_003_030_001_002,21.098,4.314,7.29,aditi
s_003_030_001_003,16.218,4.8,6.41,aditi
s_003_030_001_004,17.938,4.867,5.695,aditi
s_003_030_001_005,18.787,4.876,6.59,aditi
s_003_030_001_006,15.712,4.048,6.019,aditi
s_003_030_001_007,8.746,3.638,4.133,aditi
s_003_030_001_008,9.482,2.667,5.267,aditi
s_003_030_001_009,8.397,3.114,4.305,aditi
s_003_030_001_010,6.864,2.61,3.714,aditi
s_003_030_001_011,5.812,2.229,4.448,aditi
s_003_030_001_012,9.671,3.705,4.338,aditi
s_003_030_001_013,7.564,2.505,4.771,aditi
s_003_030_001_014,7.411,2.819,4.686,aditi
s_003_030_001_015,6.645,2.438,3.933,aditi
s_003_030_001_016,4.806,2.457,3.124,aditi
s_003_030_001_017,3.488,1.476,4.319,aditi
s_003_032_001_001,57.756,8.848,10.495,aditi
s_003_032_001_002,15.319,4.019,5.467,aditi
s_003_032_001_003,14.537,4.19,6.295,aditi
s_003_032_001_004,26.552,5.629,7.914,aditi
s_003_032_001_005,15.27,3.171,6.4,aditi
s_003_032_001_006,16.63,4.152,5.819,aditi
s_003_032_001_007,12.392,3.514,6.238,aditi
s_003_032_001_008,5.344,2.49,3.752,aditi
s_003_032_001_009,12.021,3.714,4.943,aditi
s_003_032_001_010,4.329,2.124,3.376,aditi
s_003_032_001_011,3.711,2.01,3.3,aditi
s_003_032_001_012,4.528,2.343,2.905,aditi
s_003_032_001_013,3.865,1.314,3.562,aditi
s_003_032_001_014,4.207,1.733,3.61,aditi
s_003_032_001_015,6.312,2.79,3.686,aditi
s_003_037_001_001,16.011,3.924,6.9,aditi
s_003_037_001_002,6.974,2.562,4.6,aditi
s_003_037_001_003,12.269,4.381,4.943,aditi
s_003_037_001_004,9.831,3.829,4.143,aditi
s_003_037_001_005,6.237,2.514,4,aditi
s_003_037_001_006,4.178,2.005,3.848,aditi
s_003_037_001_007,3.618,2.019,2.795,aditi
s_003_037_001_008,5.136,2.048,3.686,aditi
s_003_037_001_009,4.356,1.914,3.638,aditi
s_003_038_001_001,22.471,5.724,6.857,aditi
s_003_038_001_002,11.341,3,5.071,aditi
s_003_038_001_003,10.027,2.743,6.048,aditi
s_003_038_001_004,16.898,4.295,4.99,aditi
s_003_038_001_004,16.915,4.933,5.562,aditi
s_003_038_001_005,9.46,3.143,6.038,aditi
s_003_038_001_006,11.671,2.886,5.495,aditi
s_003_038_001_007,13.779,3.638,6.067,aditi
s_003_038_001_008,5.356,2.371,3.619,aditi
s_003_038_001_009,5.145,2.162,3.943,aditi
s_003_038_001_010,6.069,3.043,3.476,aditi
s_003_038_001_011,6.113,1.943,5.095,aditi
s_003_038_001_012,5.318,2.752,3.49,aditi
s_003_038_001_013,4.135,1.952,4.014,aditi
s_003_038_001_014,7.907,3.181,4.067,aditi
s_003_038_001_015,5.9,2.448,3.895,aditi
s_003_038_001_016,5.787,2.495,3.9,aditi
s_003_038_001_017,12.776,3.038,5.714,aditi
s_003_038_001_018,7.554,2.952,3.667,aditi
s_003_038_001_019,6.054,2.352,4.633,aditi
s_003_038_001_020,5.129,2.448,3.505,aditi
s_003_038_001_021,5.466,2.605,3.381,aditi
s_003_038_001_022,3.036,1.514,3.762,aditi
s_004_14_001_001,57.151,8.181,10.181,aditi
s_004_14_001_002,30.337,5.429,7.552,aditi
s_004_14_001_003,27.616,5.305,7.819,aditi
s_004_14_001_004,16.663,3.838,6.219,aditi
s_004_14_001_005,13.78,4.171,5.486,aditi
s_004_14_001_006,9.423,3.343,3.971,aditi
s_004_14_001_007,3.315,1.371,4.414,aditi
s_004_14_001_008,6.334,2.105,4.562,aditi
s_004_14_001_009,6.511,2.981,3.81,aditi
s_004_14_001_010,7.138,2.962,4.076,aditi
s_004_14_001_011,7.12,2.952,4.648,aditi
s_004_14_001_012,5.766,2.4,3.762,aditi
s_004_14_001_013,5.406,2.605,3.219,aditi
s_004_14_001_014,7.443,2.343,4.895,aditi
s_004_14_001_015,5.88,2.057,4.095,aditi
s_004_14_001_016,9.597,3.124,4.105,aditi
s_004_14_001_017,7.897,3.533,4.152,aditi
s_004_14_001_018,5.271,1.829,3.924,aditi
s_004_25_001_001,36.054,6.114,7.648,aditi
s_004_25_001_002,35.805,6.681,9.071,aditi
s_004_25_001_003,4.728,2.029,3.467,aditi
s_004_25_001_004,6.699,2.314,3.962,aditi
s_004_25_001_005,33.054,6.4,8.576,aditi
s_004_25_001_006,14.452,4.529,5.467,aditi
s_004_25_001_007,8.237,3.495,3.619,aditi
s_004_25_001_008,15.125,4.476,5.324,aditi
s_004_25_001_009,7.112,2.276,4.305,aditi
s_004_25_001_010,8.969,3.429,3.924,aditi
s_004_25_001_011,4.66,1.895,3.905,aditi
s_004_25_001_012,4.613,1.79,3.9,aditi
s_004_25_001_013,9.275,2.324,5.086,aditi
s_004_25_001_014,5.503,2.314,4.057,aditi
s_004_25_001_015,7.903,2.81,4.01,aditi
s_004_25_001_016,5.283,1.781,4.162,aditi
s_004_25_001_017,8.314,3,5.124,aditi
s_004_29_001_001,15.087,4.714,5.057,justin
s_004_29_001_003,10.381,3.286,6.852,justin
s_004_29_001_010,27.864,4.514,8.238,aditi
s_004_29_001_011,63.347,6.138,11.948,justin
s_004_29_001_014,17.557,4.767,7.938,justin
s_004_29_001_015,9.044,3.648,3.986,justin
s_004_29_001_016,48.441,7.219,9.162,aditi
s_004_29_001_017,37.324,6.733,7.876,aditi
s_004_29_001_018,16.484,3.314,7.624,aditi
s_004_29_001_019,27.864,4.514,8.238,aditi
s_004_29_001_020,13.397,3.381,6.252,aditi
s_004_29_001_021,16.551,5.448,6.033,aditi
s_004_29_001_022,8.137,3.343,3.895,aditi
s_004_29_001_023,9.976,3.81,4.495,aditi
s_004_29_001_024,11.867,3.381,5.219,aditi
s_004_29_001_025,4.048,1.752,3.976,aditi
s_004_29_001_026,5.139,2.495,3.886,aditi
s_004_29_002_002,38.715,7.324,9.048,aditi
s_004_29_002_004,9.485,2.905,5.314,aditi
s_004_29_002_005,17.813,4.819,6.581,aditi
s_004_29_002_006,17.614,4.743,6.238,aditi
s_004_29_002_007,8.133,2.952,4.562,aditi
s_004_29_002_008,12.589,4.114,4.505,aditi
s_004_29_002_009,10.838,3.2,4.419,aditi
s_004_29_002_010,10.813,3.981,4.19,aditi
s_004_29_002_012,8.539,2.686,4.852,aditi
s_004_29_002_013,10.168,2.743,5.352,aditi
s_004_39_001_001,9.166,2.543,4.876,aditi
s_004_39_001_003,15.864,3.805,5.938,aditi
s_004_39_001_004,7.967,3.571,3.676,aditi
s_004_39_001_005,5.749,2.867,3.2,aditi
s_004_39_001_006,26.754,5.61,7.314,aditi
s_004_39_001_007,22.762,6.276,6.524,aditi
s_004_39_001_008,17.096,3.971,6.31,aditi
s_004_39_001_009,10.184,3.305,4.533,aditi
s_004_39_001_010,12.625,4.514,4.762,aditi
s_004_39_001_011,17.001,3.905,5.867,aditi
s_004_39_001_012,10.439,3.019,4.971,aditi
s_004_39_001_013,6.182,2.2,3.8,aditi
s_004_39_001_014,29.851,5.667,8.086,aditi
s_004_39_001_015,6.284,2.276,3.971,aditi
s_004_39_001_016,7.201,2.981,4.057,aditi
s_004_39_001_017,4.228,1.648,3.086,aditi
s_004_39_001_018,6.485,3.295,3.848,aditi
s_004_39_001_019,7.188,2.133,4.676,aditi
s_004_39_001_020,7.808,2.686,4.629,aditi
s_004_39_001_021,7.867,3.233,4.067,aditi
s_004_39_001_022,10.04,4.038,4.51,aditi
s_004_45_001_001,69.543,8.857,13.195,aditi
s_004_45_001_002,10.207,2.952,4.457,aditi
s_004_45_001_003,9.063,2.533,4.943,aditi
s_004_45_001_004,25.317,5.4,7.61,aditi
s_004_45_001_005,22.15,5.305,6.89,aditi
s_004_45_001_007,6.551,2.857,3.762,aditi
s_004_45_001_008,8.135,3.343,3.876,aditi
s_004_45_001_009,15.448,4.305,6.457,aditi
s_004_45_001_010,5.547,1.886,3.986,justin
s_004_45_001_011,4.123,1.524,4.371,aditi
